category_id,game_id
2,8569
2,5625
2,5660
2,5572
2,9210
2,9804
2,5222
2,421
2,90
2,12189
2,348
2,14832
2,519
2,8567
2,16927
2,6501
2,19110
2,9071
2,14443
2,12900
2,9150
2,10729
2,11055
2,15118
2,11340
2,16928
2,7503
2,14674
2,15967
2,14343
2,2073
2,491
2,469
2,466
2,479
2,437
2,446
2,448
2,422
2,14872
2,16631
2,10672
2,16474
2,16812
2,12349
2,1762
2,10874
2,9823
2,13098
2,15299
2,17585
2,11843
2,10619
2,10892
2,10860
2,10861
2,10862
2,10890
2,10629
2,11082
2,11085
2,11084
2,11086
2,10658
2,10659
2,10657
2,11090
2,11124
2,11126
2,11140
2,11141
2,11144
2,11147
2,11148
2,11149
2,11151
2,11162
2,11163
2,11164
2,11165
2,11166
2,11167
2,11183
2,11218
2,11219
2,11220
2,11221
2,11222
2,11223
2,11224
2,11225
2,11226
2,11227
2,11229
2,11231
2,11234
2,11235
2,11244
2,11252
2,11254
2,11256
2,11257
2,11261
2,11263
2,11264
2,11277
2,11278
2,11280
2,11281
2,11282
2,11283
2,11284
2,11285
2,11286
2,11287
2,11288
2,11290
2,11291
2,11292
2,11293
2,11294
2,11295
2,11296
2,11298
2,11299
2,11300
2,11301
2,11302
2,11303
2,11304
2,11305
2,11306
2,11307
2,11308
2,11309
2,11310
2,11311
2,11312
2,11313
2,11314
2,11315
2,11316
2,11317
2,11318
2,11319
2,11320
2,11321
2,11322
2,11323
2,11324
2,11325
2,11326
2,11327
2,11328
2,11329
2,11330
2,11331
2,11332
2,11333
2,11334
2,11335
2,11336
2,11337
2,11338
2,11339
2,11341
2,11342
2,11344
2,11345
2,11346
2,11347
2,11348
2,11349
2,11350
2,11351
2,11352
2,11353
2,11354
2,11355
2,11356
2,11357
2,11358
2,11359
2,11360
2,11361
2,11362
2,11363
2,11364
2,11365
2,11366
2,11367
2,11368
2,11369
2,11370
2,11371
2,11372
2,11373
2,11374
2,11375
2,11376
2,11377
2,11378
2,11379
2,11380
2,11381
2,11382
2,11383
2,11384
2,11385
2,11386
2,11387
2,11388
2,11389
2,11390
2,11391
2,11392
2,11393
2,11394
2,11395
2,11396
2,11397
2,11398
2,11399
2,11400
2,11401
2,11402
2,11403
2,11404
2,11405
2,11406
2,11407
2,11408
2,11409
2,11410
2,11411
2,11412
2,11413
2,11414
2,11415
2,11416
2,11417
2,11418
2,11419
2,11420
2,11421
2,11422
2,11423
2,11424
2,11425
2,11426
2,11427
2,11428
2,11429
2,11430
2,11431
2,11432
2,11433
2,11434
2,11435
2,11436
2,11437
2,11438
2,11439
2,11440
2,11441
2,11442
2,11443
2,11444
2,11445
2,11446
2,11447
2,11448
2,11449
2,11450
2,11451
2,11452
2,11453
2,11454
2,11455
2,11456
2,11457
2,11458
2,11459
2,11460
2,11461
2,11462
2,11463
2,11464
2,11465
2,11466
2,11467
2,11468
2,11469
2,11470
2,11471
2,11472
2,11473
2,11474
2,11475
2,11476
2,11477
2,11478
2,11479
2,11480
2,11481
2,11482
2,11483
2,11484
2,11485
2,11486
2,11487
2,11488
2,11489
2,11490
2,11491
2,11492
2,11493
2,11494
2,11495
2,11496
2,11497
2,11498
2,11499
2,11500
2,11501
2,11502
2,11503
2,11504
2,11505
2,11506
2,11507
2,11508
2,11509
2,11510
2,11511
2,11512
2,11513
2,11514
2,11515
2,11516
2,11517
2,11518
2,11519
2,11520
2,11521
2,11522
2,11523
2,11524
2,11525
2,11526
2,11527
2,11528
2,11529
2,11530
2,11531
2,11532
2,11533
2,11534
2,11535
2,11536
2,11537
2,11538
2,11539
2,11540
2,11541
2,11542
2,11543
2,11544
2,11545
2,11546
2,11547
2,11548
2,11549
2,11550
2,11551
2,11552
2,11553
2,11554
2,11555
2,11556
2,11557
2,11558
2,11559
2,11560
2,11561
2,11562
2,11563
2,11564
2,11565
2,11566
2,11567
2,11568
2,11569
2,11570
2,11571
2,11572
2,11573
2,11574
2,11575
2,11576
2,11577
2,11578
2,11579
2,11580
2,11581
2,11582
2,11583
2,11584
2,11585
2,11586
2,11587
2,11588
2,11589
2,11590
2,11591
